store_name,address_full,sido,sigungu,dong,tel,sell_type,win1_cnt,win2_cnt,years_since,score,lat,lng
행복한복권방,전북 전주시 덕진구 혁신로 465,전북,전주시,덕진구,,,2,0,0.0,24.0,35.8545487674708,127.065917168815
인터넷 복권판매사이트,동행복권(dhlottery.co.kr),,,,,,0,4,0.0,14.4,,
노다지복권,강원 횡성군 문정로 52,강원,횡성군,문정로,,,1,0,0.0,12.0,37.4885074479694,127.988730637854
동성슈퍼,울산 울주군 북문1길 7 101호,울산,울주군,북문1길,,,1,0,0.0,12.0,35.5709484283551,129.120397335874
두근두근로또복권,경기 고양시 일산동구 일산로 453 1층 106호,경기,고양시,일산동구,,,1,0,0.0,12.0,37.6737102006625,126.776269962228
만물전파사,경기 남양주시 마석중앙로 74,경기,남양주시,마석중앙로,,,1,0,0.0,12.0,37.6520463193206,127.307903216417
대왕로또,부산 영도구 남항로 35,부산,영도구,남항로,,,1,0,0.0,12.0,35.0889689076835,129.04028162727
대박슈퍼,인천 부평구 경원대로 1438,인천,부평구,경원대로,,,1,0,0.0,12.0,37.4908552292598,126.728645857091
일등커피로또판매점,"대구 수성구 동대구로 371 1층,일등커피숍내",대구,수성구,동대구로,,,1,0,0.0,12.0,35.8635511963682,128.62641152485
진평양행,강원 강릉시 임영로 107,강원,강릉시,임영로,,,1,0,0.0,12.0,37.7512348337798,128.89409118199
지에스25(울산우정선경점)로또,울산 중구 우정3길 12,울산,중구,우정3길,,,1,0,0.0,12.0,35.5590111580335,129.311251038593
일주일행복로또(파장매표소),경기 수원시 장안구 파장로82번길 3,경기,수원시,장안구,,,1,0,0.0,12.0,37.3068256752192,126.991844921709
영앤로또,경기 남양주시 다산중앙로123번길 47 메트로3단지 상기 106호,경기,남양주시,다산중앙로123번길,,,1,0,0.0,12.0,37.622901216945,127.147575444675
와이에스컴퍼니,대구 남구 두류공원로 105 1층,대구,남구,두류공원로,,,1,0,0.0,12.0,35.8457724076819,128.567672624878
동하인터내셔날,"경기 남양주시 진건오남로884번길 23 105,106호",경기,남양주시,진건오남로884번길,,,1,0,0.0,12.0,,
행운복권방,경기 의정부시 충의로 55,경기,의정부시,충의로,,,1,0,0.0,12.0,37.7367622315602,127.087199006025
황금알복권,전남 광양시 광포로 39 1층 (광영동),전남,광양시,광포로,,,1,0,0.0,12.0,34.9627880546384,127.722743798008
터미널식품,경기 의정부시 동일로 640,경기,의정부시,동일로,,,1,0,0.0,12.0,37.7452121646777,127.05507770808
행복점빵,경기 고양시 덕양구 지축1로 41 108호,경기,고양시,덕양구,,,1,0,0.0,12.0,37.6486785040202,126.914963007585
행복로또방,경남 김해시 김해대로2529번길 31 100-3호 복권판매점,경남,김해시,김해대로2529번길,,,1,0,0.0,12.0,35.2312143384948,128.902978054891
행운모아 복권방,"경기 수원시 권선구 서수원로577번길 305 제상가동 비205호(금곡동, 수원모아미래도센트럴타운2단지)",경기,수원시,권선구,,,1,0,0.0,12.0,37.276199115847,126.939918264282
복권세상,서울 양천구 신월로 187 1층,서울,양천구,신월로,,,0,1,0.0,3.6,37.5196975192064,126.843662897609
가로판매소,서울 구로구 새말로 117-24 (신도림역2번출구)(구로동),서울,구로구,새말로,,,0,1,0.0,3.6,37.5078567262654,126.891886432046
대박복권방,서울 금천구 독산로64길 18,서울,금천구,독산로64길,,,0,1,0.0,3.6,37.4650756285622,126.903671353357
넘버원,서울 도봉구 도봉로165길 2 1층,서울,도봉구,도봉로165길,,,0,1,0.0,3.6,37.6777263387055,127.044676759227
복권나라,서울 동작구 성대로 42,서울,동작구,성대로,,,0,1,0.0,3.6,37.4988444814987,126.933392487301
백악관앞가판,서울 광진구 천호대로 647,서울,광진구,천호대로,,,0,1,0.0,3.6,37.5532471208621,127.089558340012
몽유호가,서울 강동구 올림픽로 552 1층5호,서울,강동구,올림픽로,,,0,1,0.0,3.6,37.5308341998326,127.12101233589
로또킹,서울 영등포구 영중로 2 1층(영등포동3가),서울,영등포구,영중로,,,0,1,0.0,3.6,37.5167419411213,126.906749912597
그랜드마트앞가판점,서울 마포구 신촌로 94 신촌 전철역 7번출구앞 가판점,서울,마포구,신촌로,,,0,1,0.0,3.6,37.5549939272318,126.936001762116
캐논종합,서울 용산구 새창로 156 3층큰길가장오른쪽네번째칸,서울,용산구,새창로,,,0,1,0.0,3.6,37.5337555071395,126.962464031928
행당상회,서울 성동구 고산자로 290-3,서울,성동구,고산자로,,,0,1,0.0,3.6,37.5656581434958,127.036700676915
