store_name,address_full,sido,sigungu,dong,tel,sell_type,win1_cnt,win2_cnt,years_since,score
금은동복권방,경기 용인시 기흥구 중부대로 679-6,경기,용인시,기흥구,,,1,0,0.0,12.0
부영상회,충북 충주시 칠금중앙로 38 1층,충북,충주시,칠금중앙로,,,1,0,0.0,12.0
로또판매선부점,경기 안산시 단원구 선부광장로 27 122-2호,경기,안산시,단원구,,,1,0,0.0,12.0
돈벼락맞는곳,부산 동구 조방로49번길 18-1,부산,동구,조방로49번길,,,1,0,0.0,12.0
희망복권방,충북 청주시 흥덕구 월명로 150,충북,청주시,흥덕구,,,1,0,0.0,12.0
흥양마중물,강원 원주시 치악로 2335 1층,강원,원주시,치악로,,,1,0,0.0,12.0
인터넷 복권판매사이트,동행복권(dhlottery.co.kr),,,,,,0,2,0.0,7.2
가나다자동차용품,부산 기장군 차성동로 164,부산,기장군,차성동로,,,0,1,0.0,3.6
강남가판점,서울 서초구 강남대로 379-2 가판점,서울,서초구,강남대로,,,0,1,0.0,3.6
가든파이브 복권,서울 송파구 충민로 52 가든파이브웍스 제지1층 제비에프10777-2호,서울,송파구,충민로,,,0,1,0.0,3.6
럭키마켓,서울 강동구 명일로 159 1층,서울,강동구,명일로,,,0,1,0.0,3.6
다온복권방,부산 금정구 부곡로 122 좌측 복권판매점,부산,금정구,부곡로,,,0,1,0.0,3.6
신우로또,서울 도봉구 방학로15길 26-7,서울,도봉구,방학로15길,,,0,1,0.0,3.6
스파,서울 노원구 동일로 1493 주공10단지종합상가111,서울,노원구,동일로,,,0,1,0.0,3.6
만복복권,서울 용산구 한강대로104길 72 1층,서울,용산구,한강대로104길,,,0,1,0.0,3.6
이마트24 뉴가산지웰점,서울 금천구 가산로9길 12-8 110호,서울,금천구,가산로9길,,,0,1,0.0,3.6
제일식품,서울 서대문구 증가로 143,서울,서대문구,증가로,,,0,1,0.0,3.6
잠실매점,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판,서울,송파구,올림픽로,,,0,1,0.0,3.6
평안당,서울 종로구 종로 219,서울,종로구,종로,,,0,1,0.0,3.6
중구-가로가판대-37,서울 중구 남대문로 20-2,서울,중구,남대문로,,,0,1,0.0,3.6
