draw_no,no,rank,store_name,address_full,pick_type,source
601,1,1,천하명당미아현대점,서울 강북구 솔샘로 283 1층,수동,parsed
601,2,1,로또수락산점,서울 노원구 동일로 1689 대덕하이베라스101호,수동,parsed
601,3,1,부일카서비스,부산 동구 자성로133번길 35,자동,parsed
601,4,1,복권방,부산 부산진구 당감서로 84 202호,수동,parsed
601,5,1,대운복권,경기 성남시 중원구 성남대로 1149,자동,parsed
601,6,1,하늘채복권방,경기 수원시 영통구 매탄동 1156-1번지,자동,parsed
601,7,1,여기있었네복권방,충남 논산시 중앙로 417,자동,parsed
601,8,1,일공공일안경콘택트수송점,전북 군산시 수송동 850-6번지,자동,parsed
601,9,1,구담쌀슈퍼,경북 안동시 경동로 908,자동,parsed
601,1,2,로또복권,서울 관악구 장군봉1길 29,,parsed
601,2,2,GS25(구로미성),서울 구로구 신도림동 399번지 기임빌딩101,,parsed
601,3,2,반도서점,서울 금천구 독산로 136,,parsed
601,4,2,영훈슈퍼마켓,서울 도봉구 덕릉로 222,,parsed
601,5,2,GS25(창동본),서울 도봉구 창동 12번지 한성빌딩1층,,parsed
601,6,2,명가,서울 양천구 목동 911-1번지 가로판매점,,parsed
601,7,2,코코주,서울 중구 을지로6가 18-79번지,,parsed
601,8,2,부일카서비스,부산 동구 자성로133번길 35,,parsed
601,9,2,왕대박복권,대구 달성군 달구벌대로 812,,parsed
601,10,2,CU(침산건영점),대구 북구 침산동 296-1번지,,parsed
601,11,2,복권천국,인천 부평구 평천로 306 양영빌딩1층,,parsed
601,12,2,럭키하우스,광주 광산구 풍영로101번안길 12 1층,,parsed
601,13,2,대전우표사,대전 동구 중앙로204번길 16-1,,parsed
601,14,2,마두5번출구가판로또,경기 고양시 일산동구 중앙로 1200,,parsed
601,15,2,장군슈퍼,경기 부천시 소사로 837,,parsed
602,1,1,로또복권,서울 성동구 마장동 771-7번지,자동,parsed
602,2,1,엔.스피드텔레콤,서울 은평구 불광동 281-91번지,수동,parsed
602,3,1,충남상회,인천 미추홀구 참외전로 268 302동 B211호,자동,parsed
602,4,1,운천점(복권나라),광주 서구 운천로 153 1층,자동,parsed
602,5,1,로또암반수베팅샵,경기 남양주시 수레로 32,자동,parsed
602,6,1,로또(파발마점),경기 시흥시 마유로 415 역전프라자105호,자동,parsed
602,7,1,GS25(장유무계),경남 김해시 장유면 무계리 191-7번지 청학프라자 1-107호,자동,parsed
602,8,1,천하명당복권방,경남 진주시 봉곡동 15-5번지,수동,parsed
602,1,2,CU(타워팰리스점),서울 강남구 도곡동 467번지타워팰리스1차상가내1층,,parsed
602,2,2,GS25(논현경남),서울 강남구 논현동 262-32번지,,parsed
602,3,2,주택복권사랑방,서울 관악구 난곡로 363-1,,parsed
602,4,2,다터져복권방,서울 금천구 가산동 60-18번지 한신it타워2차101호,,parsed
602,5,2,로또복권,서울 성동구 마장동 771-7번지,,parsed
602,6,2,가판대20호,서울 송파구 송파대로 365 석촌농협앞가판대20호,,parsed
602,7,2,가판,서울 은평구 통일로 750,,parsed
602,8,2,평화슈퍼,서울 은평구 연서로 198-1,,parsed
602,9,2,코코주,서울 중구 을지로6가 18-79번지,,parsed
602,10,2,가로판매점,서울 중구 서소문로 109,,parsed
602,11,2,대박명당,부산 강서구 낙동북로102번길 1,,parsed
602,12,2,신풍,부산 사하구 신평동 647-4번지 신풍편의점,,parsed
602,13,2,복권명당,부산 해운대구 아랫반송로 11,,parsed
602,14,2,논공24시복권방,대구 달성군 논공중앙로 140 1층,,parsed
602,15,2,한마음병원앞버스매표소,인천 계양구 계양대로 53,,parsed
603,1,1,삼정그린환경,서울 강동구 양재대로 1355 오스카상가136호,수동,parsed
603,2,1,복권파티,서울 송파구 오금로 516,자동,parsed
603,3,1,HX복권방,경기 이천시 부발읍 아미리 726-9번지 현대시티플라자106호,자동,parsed
603,4,1,청룡마트,충남 천안시 동남구 풍세로 1010-31 현대아파트상가B-102호,자동,parsed
603,1,2,교통카드판매소,서울 강북구 수유3동 191-14번지 가판,,parsed
603,2,2,세븐일레븐 강변테크노마트점,서울 광진구 광나루로56길 85 테크노마트지하판매동1층D004,,parsed
603,3,2,스파,서울 노원구 동일로 1493 주공10단지종합상가111,,parsed
603,4,2,복권나라,서울 동대문구 신설동 103-3번지 광일빌딩102호,,parsed
603,5,2,꽃돼지복권방,서울 동대문구 장안동 361-4번지,,parsed
603,6,2,신문가판대,서울 성북구 보문동4가 4번지 가판,,parsed
603,7,2,미래통신,서울 성북구 장월로 118-1,,parsed
603,8,2,바로정보,서울 양천구 공항대로 562,,parsed
603,9,2,슈퍼복권나라,부산 부산진구 범일로142번길 31 1층 복권방,,parsed
603,10,2,동원무지개로또,부산 사상구 덕포동 789번지 남영상가3-1호 해피타임편의점,,parsed
603,11,2,행운플러스,부산 사상구 괘감로 103 1층복권방,,parsed
603,12,2,심봤다복권나라,대구 북구 팔달로27길 81 1층,,parsed
603,13,2,대박베팅?,대구 수성구 수성동4가 1017-32번지,,parsed
603,14,2,코만도,대전 대덕구 석봉로43번길 1,,parsed
603,15,2,복권명당,대전 중구 목중로 47,,parsed
604,1,1,럭키복권방,서울 도봉구 노해로63길 79 우림빌딩 112호,자동,parsed
604,2,1,승리상사,서울 영등포구 신길동 115-33번지,자동,parsed
604,3,1,일등복권편의점,대구 달서구 대명천로 220 1층,자동,parsed
604,4,1,라이프마트,인천 중구 연안부두로53번길 36 5호,자동,parsed
604,5,1,오천억복권방,광주 서구 상무대로 1087,자동,parsed
604,6,1,럭키로또방,경기 수원시 영통구 센트럴타운로 15 아이플렉스104호,자동,parsed
604,7,1,천하명당우만점,경기 수원시 팔달구 월드컵로369번길 4,자동,parsed
604,8,1,복권명당,경기 안산시 상록구 건건로 41,자동,parsed
604,9,1,GS25(동백역점),경기 용인시 기흥구 중동 853-1번지,자동,parsed
604,10,1,천하명당복권방,전북 익산시 선화로 130,수동,parsed
604,11,1,삼계복권전문점,경남 창원시 마산회원구 경남대로 915,자동,parsed
604,1,2,미나식품(로또판매점),서울 강서구 금낭화로 91-12,,parsed
604,2,2,신명,서울 강서구 방화동로3길 1,,parsed
604,3,2,가로매점,서울 마포구 마포대로 61-1,,parsed
604,4,2,꽃이활짝피는복권방,서울 영등포구 당산로 26 상가동 1호. 문래역 7번출구 옆,,parsed
604,5,2,가로매점,서울 종로구 종로4가 126-2번지,,parsed
604,6,2,프레야행운방,서울 중구 다산로36길 21,,parsed
604,7,2,행운복권,부산 남구 석포로 132,,parsed
604,8,2,터서점,부산 동래구 아시아드대로 227,,parsed
604,9,2,황금어장,부산 중구 중앙대로 96 흥우빌딩1층 나들가게편의점,,parsed
604,10,2,황금어장,부산 중구 중앙대로 96 흥우빌딩1층 나들가게편의점,,parsed
604,11,2,황금어장,부산 중구 중앙대로 96 흥우빌딩1층 나들가게편의점,,parsed
604,12,2,엔타임편의점(대승복권),부산 해운대구 좌동 1479-3번지 세종월드프라자 137 엔타임편의점내,,parsed
604,13,2,탑훼미리마트,부산 해운대구 중동 1392-90번지,,parsed
604,14,2,일등복권편의점,대구 달서구 대명천로 220 1층,,parsed
604,15,2,복권명당,대구 수성구 천을로 180 동서1차아파트상가108-112호,,parsed
605,1,1,미나식품(로또판매점),서울 강서구 금낭화로 91-12,수동,parsed
605,2,1,대박,경기 구리시 안골로103번길 46,자동,parsed
605,3,1,티켓몰,경기 김포시 사우중로 15,자동,parsed
605,4,1,노다지복권방,경기 시흥시 복지로 103-1 1층상가,자동,parsed
605,5,1,아름다운방,경기 의정부시 금오동 473-1번지 플래티넘프라자1층107,자동,parsed
605,6,1,로또나라,경기 파주시 자유로 2212,수동,parsed
605,7,1,GS25(청주율량),충북 청주시 상당구 율량동 846번지,수동,parsed
